season,team_a,team_b,rating_a,rating_b,rating_diff,duncan_fav,vegas_fav,vegas_g1_spread,actual_winner,actual_loser,series_score,n_games,duncan_correct,vegas_correct,first_game_date
2020,Los Angeles Lakers,Portland Trail Blazers,3.219239374505191,1.439615247097458,1.779624127407733,Los Angeles Lakers,Los Angeles Lakers,7.0,Los Angeles Lakers,Portland Trail Blazers,4-0,4,True,True,2020-08-20
2020,Milwaukee Bucks,Orlando Magic,5.544051601871948,0.514841989929955,5.029209611941994,Milwaukee Bucks,Milwaukee Bucks,13.0,Milwaukee Bucks,Orlando Magic,4-0,4,True,True,2020-08-20
2020,Boston Celtics,Toronto Raptors,6.393630395269423,7.780915417016277,1.3872850217468535,Toronto Raptors,Toronto Raptors,2.0,Boston Celtics,Toronto Raptors,4-3,7,False,False,2020-08-30
2020,Miami Heat,Milwaukee Bucks,3.1871744460776226,6.510583706895471,3.323409260817848,Milwaukee Bucks,Milwaukee Bucks,5.0,Miami Heat,Milwaukee Bucks,4-1,5,False,False,2020-08-31
2020,Denver Nuggets,Los Angeles Clippers,0.2054940941521615,7.428930152389207,7.223436058237046,Los Angeles Clippers,Los Angeles Clippers,9.5,Denver Nuggets,Los Angeles Clippers,4-3,7,False,False,2020-09-03
2020,Houston Rockets,Los Angeles Lakers,2.4959555710172707,4.834383471824551,2.33842790080728,Los Angeles Lakers,Los Angeles Lakers,6.5,Los Angeles Lakers,Houston Rockets,4-1,5,True,True,2020-09-04
2020,Boston Celtics,Miami Heat,8.046430011051484,5.105119715521283,2.941310295530201,Boston Celtics,Boston Celtics,2.0,Miami Heat,Boston Celtics,4-2,6,False,False,2020-09-15
2020,Denver Nuggets,Los Angeles Lakers,1.6961504563508667,5.382930136876877,3.6867796805260102,Los Angeles Lakers,Los Angeles Lakers,7.0,Los Angeles Lakers,Denver Nuggets,4-1,5,True,True,2020-09-18
2020,Los Angeles Lakers,Miami Heat,5.323322481942611,5.950971108473808,0.6276486265311965,Miami Heat,Los Angeles Lakers,4.5,Los Angeles Lakers,Miami Heat,4-2,6,False,True,2020-09-30
2021,Boston Celtics,Brooklyn Nets,0.8153168344877019,4.418206477455539,3.602889642967837,Brooklyn Nets,Brooklyn Nets,8.5,Brooklyn Nets,Boston Celtics,4-1,5,True,True,2021-05-22
